Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target
Hindi_image_1817.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_7.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_32.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1714.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_295.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_34.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_21.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1910.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_119.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_677.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_118.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_9.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_100.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_261.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_8.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_838.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_141.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_29.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_163.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1379.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_549.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_138.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2271.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_123.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_26.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_1781.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_39.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2297.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_28.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2366.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender
Hindi_image_157.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_177.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_2127.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_456.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender
Hindi_image_5.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_30.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_120.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender
Hindi_image_868.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual
